Dataset   Point Species  Nom      T_1           T_2           T_3           T_4           T_5           T_6           T_7           T_8           T_9           T_10
x00204001   1   HCN   1.39E-07   9.02E-08   5.87E-08   6.46E-08   7.11E-08   7.82E-08   8.60E-08   9.47E-08   1.04E-07   1.15E-07   1.26E-07
x00204001   2   HCN   0.0387479   0.0390358   0.0392415   0.0392015   0.0391584   0.0391121   0.0390622   0.0390084   0.0389505   0.038888   0.0388206
x00204001   3   HCN   0.0294889   0.0313946   0.0330969   0.032737   0.0323665   0.0319855   0.0315941   0.0311927   0.0307812   0.0303599   0.0299291
x00204001   4   HCN   0.00951168   0.0120561   0.014669   0.0140854   0.0135031   0.0129224   0.0123442   0.0117689   0.0111974   0.0106302   0.010068
x00204001   5   HCN   0.00157787   0.000357268   6.24E-07   1.22E-05   6.12E-05   0.000149155   0.000277445   0.000447677   0.000661313   0.00091976   0.00122479
x00204001   6   HCN   0.060095   0.0465894   0.0351868   0.0375479   0.0400064   0.0425635   0.0452218   0.0479835   0.0508495   0.0538227   0.0569033
x00204001   7   HCN   0.0112423   0.00499889   0.00130526   0.00191348   0.00264194   0.00349184   0.00446535   0.00556401   0.00678924   0.00814306   0.00962684
x00204001   8   HCN   0.157575   0.128034   0.101879   0.107404   0.113091   0.118944   0.124963   0.131147   0.1375   0.144021   0.150713
x00204001   9   HCN   0.24923   0.210138   0.174565   0.182152   0.18992   0.19787   0.206003   0.214093   0.222594   0.231283   0.240161
x00204001   10   HCN   1.03332   0.943234   0.859104   0.877312   0.895794   0.914555   0.933602   0.952938   0.972574   0.992512   1.01276
x00204001   11   HCN   1.37922   1.24743   1.12804   1.15358   1.17967   1.20634   1.23358   1.26143   1.28989   1.319   1.34876
x00204001   12   HCN   1.16226   0.978662   0.822345   0.85495   0.888717   0.923751   0.960048   0.997643   1.03661   1.07698   1.11883
x00204001   13   HCN   3.25444   2.68919   2.21874   2.31597   2.41728   2.52274   2.6326   2.74699   2.86618   2.99038   3.11968
x00204001   14   HCN   1.09803   1.45543   1.81726   1.73686   1.65641   1.57594   1.49557   1.41535   1.33538   1.25577   1.17662
x00204001   15   HCN   0.0997488   0.112875   0.539482   0.432397   0.330535   0.235768   0.150686   0.0789874   0.0261556   0.000712717   0.0167626
x00204001   17   HCN   18.484   18.0319   17.4714   17.6058   17.7344   17.8576   17.975   18.0875   18.1944   18.2959   18.3926
x00204001   18   HCN   7.3634   7.42226   7.45931   7.45302   7.44568   7.43717   7.42749   7.41664   7.40488   7.39195   7.37813
x00204001   19   HCN   1.4165   1.47469   1.53087   1.51859   1.50618   1.49367   1.48104   1.46832   1.45547   1.44259   1.42958
x00204001   20   HCN   0.340406   0.374815   0.410099   0.402178   0.394311   0.38648   0.378683   0.370945   0.363245   0.355585   0.347964
x00204001   21   HCN   0.0290617   0.0201088   0.0128793   0.0143399   0.0158829   0.0175086   0.0192221   0.0210155   0.0228981   0.0248663   0.0269207
x00204001   22   HCN   0.0893596   0.0712789   0.0553803   0.05873   0.0621859   0.0657406   0.0694107   0.0731805   0.0770586   0.0810548   0.085152
x00204001   1   NO   1.51334   1.61095   1.70511   1.68447   1.66364   1.64264   1.62148   1.60015   1.57867   1.55703   1.53525
x00204001   2   NO   1.82672   2.0535   2.26876   2.22209   2.17484   2.12672   2.07811   2.02904   1.97922   1.92903   1.87818
x00204001   3   NO   0.00105145   0.00826055   0.0270982   0.0216038   0.0169154   0.0129609   0.00967138   0.00700044   0.00485867   0.00319994   0.00194852
x00204001   4   NO   0.00242367   0.000340828   4.88E-05   3.59E-06   1.26E-05   8.74E-05   0.000236686   0.000469017   0.000799986   0.00122707   0.00176499
x00204001   5   NO   0.931313   0.863965   0.796383   0.81152   0.826584   0.841568   0.856467   0.871496   0.886656   0.901495   0.916457
x00204001   6   NO   3.1939   3.13314   3.06543   3.08092   3.09646   3.11161   3.12595   3.14033   3.15432   3.16791   3.1811
x00204001   7   NO   0.434507   0.433416   0.43015   0.431082   0.431859   0.432481   0.433104   0.433572   0.434039   0.434195   0.434351
x00204001   8   NO   0.399813   0.41142   0.421808   0.419659   0.417362   0.415071   0.412635   0.410206   0.407633   0.405219   0.402511
x00204001   9   NO   0.00581989   0.00828592   0.0110869   0.0104507   0.0098099   0.0091894   0.00858917   0.00803032   0.00744952   0.00689051   0.00633452
x00204001   10   NO   0.395039   0.369927   0.346882   0.351877   0.356908   0.362116   0.367361   0.372644   0.37811   0.383614   0.389306
x00204001   11   NO   0.639624   0.591744   0.548678   0.557757   0.567264   0.576851   0.586698   0.596811   0.607192   0.617663   0.628596
x00204001   12   NO   1.20716   1.08997   0.987831   1.00941   1.03146   1.05448   1.07799   1.10225   1.12729   1.1531   1.17972
x00204001   13   NO   2.87565   2.52146   2.21877   2.28216   2.34751   2.41525   2.48543   2.55812   2.63338   2.71128   2.79188
x00204001   14   NO   15.2656   17.3046   19.2229   18.8071   18.3852   17.9577   17.5237   17.0838   16.6383   16.1868   15.7287
x00204001   20   NO   297.467   265.808   234.072   241.125   248.18   255.233   262.291   269.339   276.383   283.419   290.456
x00204001   21   NO   0.30246   1.45956   3.61984   3.04428   2.52538   2.06008   1.64673   1.2845   0.970034   0.702656   0.480784
x00204002   1   CO   0.00143282   0.000794056   0.000444628   0.000505512   0.000574868   0.000653958   0.00074422   0.000847346   0.00096527   0.00110032   0.00125511
x00204002   2   CO   0.622183   0.249358   0.104698   0.126376   0.152961   0.18563   0.225857   0.27547   0.336743   0.412498   0.506215
x00204002   3   CO   0.406279   0.405954   3.27847   2.43454   1.69961   1.08406   0.597726   0.249918   0.0492356   0.00366906   0.120491
x00204002   4   CO   0.0986287   0.553673   1.42921   1.19565   0.984838   0.796181   0.629205   0.483294   0.35788   0.252375   0.166173
x00204002   5   CO   2.12339   2.49505   2.95217   2.8425   2.73758   2.63725   2.54137   2.44979   2.36231   2.27886   2.19924
x00204002   6   CO   7.58349   7.59702   7.65687   7.63945   7.62436   7.61168   7.60132   7.59328   7.58747   7.58397   7.58262
x00204002   7   CO   9.77813   9.47167   9.19714   9.25533   9.31519   9.37658   9.43959   9.50415   9.57036   9.63806   9.70734
x00204002   8   CO   10.957   10.4166   9.89957   10.0123   10.1263   10.2415   10.3579   10.4754   10.5942   10.714   10.835
x00204002   9   CO   8.35153   7.6575   6.98746   7.13431   7.28241   7.43162   7.58192   7.73555   7.88804   8.04159   8.19619
x00204002   10   CO   12.7174   11.9718   11.215   11.3839   11.5524   11.7204   11.8883   12.0553   12.2219   12.3879   12.5529
x00204002   11   CO   11.9311   11.4394   10.8939   11.0195   11.1426   11.2633   11.3813   11.4968   11.6096   11.7196   11.8268
x00204002   12   CO   9.75543   9.8953   9.94345   9.94057   9.93323   9.92145   9.90516   9.88434   9.85898   9.82904   9.79453
x00204002   13   CO   42.7154   36.6836   31.8126   32.8055   33.8477   34.9416   36.089   37.2924   38.5542   39.8769   41.2631
x00204002   14   CO   9.55179   11.0488   12.4967   12.1799   11.8602   11.5376   11.2123   10.8845   10.5543   10.2218   9.88767
x00204002   15   CO   6.98855   8.711   10.4518   10.065   9.67805   9.29092   8.90413   8.51817   8.13312   7.74962   7.3679
x00204002   16   CO   9.08446   10.958   12.8216   12.4096   11.9962   11.5816   11.1661   10.7498   10.3333   9.91662   9.50024
x00204002   17   CO   2.61517   4.24525   6.04846   5.63705   5.23107   4.83132   4.43865   4.05395   3.67817   3.31236   2.95764
x00204002   18   CO   1.88139   3.58308   5.55683   5.10183   4.65507   4.21786   3.79163   3.3779   2.97817   2.59438   2.22813
x00204002   19   CO   2.95256   0.214403   1.19635   0.923767   0.679838   0.467317   0.289319   0.149582   0.0526541   0.00422456   0.0116697
x00204002   20   CO   7.05905   7.43467   7.84916   7.76583   7.62736   7.59685   7.48341   7.42583   7.33921   7.25216   7.16447
x00204002   21   CO   5.52318   5.90897   6.32037   6.2353   6.14924   6.0649   5.97067   5.87056   5.81186   5.72915   5.64608
x00204002   22   CO   4.06798   4.4426   4.80494   4.72473   4.60578   4.56331   4.48221   4.40247   4.31944   4.23821   4.15424
x00204002   1   HCN   1.78E-07   1.14E-07   7.39E-08   8.14E-08   8.97E-08   9.88E-08   1.09E-07   1.20E-07   1.32E-07   1.46E-07   1.61E-07
x00204002   2   HCN   0.0384426   0.0388082   0.0390678   0.0390175   0.0389632   0.0389047   0.0388416   0.0387735   0.0386999   0.0386206   0.038535
x00204002   3   HCN   0.0278562   0.0299401   0.0318245   0.031424   0.0310129   0.0305914   0.0301597   0.029718   0.0292667   0.0288057   0.0283355
x00204002   4   HCN   0.00744039   0.00986699   0.0124269   0.0118499   0.0112769   0.0107088   0.0101461   0.00958957   0.00903995   0.00849804   0.00796458
x00204002   5   HCN   0.00282871   0.00106946   0.000172076   0.000302454   0.000471349   0.000679846   0.000929094   0.00122039   0.00155481   0.00193354   0.00235777
x00204002   6   HCN   0.0237772   0.0323088   0.0419123   0.039691   0.0375187   0.0353957   0.0333253   0.0313061   0.0293405   0.0274303   0.0255755
x00204002   7   HCN   0.20853   0.183741   0.160647   0.165633   0.170703   0.175856   0.181092   0.186414   0.191818   0.197306   0.202876
x00204002   8   HCN   0.440721   0.40627   0.372936   0.380243   0.387607   0.395029   0.402508   0.410045   0.417633   0.425276   0.432972
x00204002   9   HCN   0.702017   0.665436   0.62889   0.636982   0.645094   0.653219   0.661359   0.669281   0.677447   0.685627   0.693816
x00204002   10   HCN   0.934475   0.899541   0.865015   0.872658   0.88032   0.887996   0.89569   0.903399   0.911133   0.918889   0.926666
x00204002   11   HCN   0.452115   0.424264   0.398831   0.404296   0.409867   0.415541   0.421329   0.42723   0.433256   0.439407   0.445691
x00204002   12   HCN   0.759391   0.690888   0.631422   0.643929   0.656829   0.670134   0.683861   0.698029   0.712648   0.727736   0.743312
x00204002   13   HCN   1.74414   1.53166   1.34931   1.38746   1.42693   1.46776   1.51   1.5537   1.59891   1.64569   1.69408
